144.9602242 -37.81467981 --> Census year: 2018 || Block ID: 53 || Property ID: 108072 || Base property ID: 108072 || CLUE small area: Melbourne (CBD) || Trading name: KST Partners || Industry (ANZSIC4) code: 6932 || Industry (ANZSIC4) description: Accounting Services || x coordinate: 144.9602242 || y coordinate: -37.81467981 || Location: (-37.81467981, 144.9602242) || 
144.9602242 -37.81467981 --> Census year: 2018 || Block ID: 53 || Property ID: 108072 || Base property ID: 108072 || CLUE small area: Melbourne (CBD) || Trading name: Auscanus || Industry (ANZSIC4) code: 9539 || Industry (ANZSIC4) description: Other Personal Services n.e.c. || x coordinate: 144.9602242 || y coordinate: -37.81467981 || Location: (-37.81467981, 144.9602242) || 
144.9602242 -37.81467981 --> Census year: 2018 || Block ID: 53 || Property ID: 108072 || Base property ID: 108072 || CLUE small area: Melbourne (CBD) || Trading name: St James Legal Services || Industry (ANZSIC4) code: 6931 || Industry (ANZSIC4) description: Legal Services || x coordinate: 144.9602242 || y coordinate: -37.81467981 || Location: (-37.81467981, 144.9602242) || 
144.9602242 -37.81467981 --> Census year: 2018 || Block ID: 53 || Property ID: 108072 || Base property ID: 108072 || CLUE small area: Melbourne (CBD) || Trading name: Design Guide Building Surveyors || Industry (ANZSIC4) code: 6923 || Industry (ANZSIC4) description: Engineering Design and Engineering Consulting Services || x coordinate: 144.9602242 || y coordinate: -37.81467981 || Location: (-37.81467981, 144.9602242) || 
144.9602242 -37.81467981 --> Census year: 2018 || Block ID: 53 || Property ID: 108072 || Base property ID: 108072 || CLUE small area: Melbourne (CBD) || Trading name: Studynet Melbourne || Industry (ANZSIC4) code: 9559 || Industry (ANZSIC4) description: Other Interest Group Services n.e.c. || x coordinate: 144.9602242 || y coordinate: -37.81467981 || Location: (-37.81467981, 144.9602242) || 
144.9602242 -37.81467981 --> Census year: 2018 || Block ID: 53 || Property ID: 108072 || Base property ID: 108072 || CLUE small area: Melbourne (CBD) || Trading name: Ownership Matters Pty Ltd || Industry (ANZSIC4) code: 6962 || Industry (ANZSIC4) description: Management Advice and Other Consulting Services || x coordinate: 144.9602242 || y coordinate: -37.81467981 || Location: (-37.81467981, 144.9602242) || 
144.9602242 -37.81467981 --> Census year: 2018 || Block ID: 53 || Property ID: 108072 || Base property ID: 108072 || CLUE small area: Melbourne (CBD) || Trading name: Jenlan Yang & Associates || Industry (ANZSIC4) code: 6962 || Industry (ANZSIC4) description: Management Advice and Other Consulting Services || x coordinate: 144.9602242 || y coordinate: -37.81467981 || Location: (-37.81467981, 144.9602242) || 
144.9602242 -37.81467981 --> Census year: 2018 || Block ID: 53 || Property ID: 108072 || Base property ID: 108072 || CLUE small area: Melbourne (CBD) || Trading name: Subway || Industry (ANZSIC4) code: 4511 || Industry (ANZSIC4) description: Cafes and Restaurants || x coordinate: 144.9602242 || y coordinate: -37.81467981 || Location: (-37.81467981, 144.9602242) || 
144.9602242 -37.81467981 --> Census year: 2018 || Block ID: 53 || Property ID: 108072 || Base property ID: 108072 || CLUE small area: Melbourne (CBD) || Trading name: International Wise Counsel || Industry (ANZSIC4) code: 6962 || Industry (ANZSIC4) description: Management Advice and Other Consulting Services || x coordinate: 144.9602242 || y coordinate: -37.81467981 || Location: (-37.81467981, 144.9602242) || 
144.9602242 -37.81467981 --> Census year: 2018 || Block ID: 53 || Property ID: 108072 || Base property ID: 108072 || CLUE small area: Melbourne (CBD) || Trading name: Australian Chinese News || Industry (ANZSIC4) code: 5411 || Industry (ANZSIC4) description: Newspaper Publishing || x coordinate: 144.9602242 || y coordinate: -37.81467981 || Location: (-37.81467981, 144.9602242) || 
